Timestamp,Reference Element,Element,Ratio,Ratio Sigma,Ratio SNR,Error Percentage,v0_lat,v1_lat,v2_lat,v3_lat,v0_lon,v1_lon,v2_lon,v3_lon
20230214T072543720,Mg,Na,0.5631443298969072,0.011337189691389636,49.67230373895956,2.0131943250614093,28.7192,26.3404,26.0946,28.4603,-160.677,-160.927,-160.11,-159.846
20230214T085449662,Mg,Na,0.3897058823529412,0.010170055702285359,38.318952595841594,2.6096746707751106,-60.3072,-62.6236,-62.1959,-59.8953,-160.843,-159.929,-158.486,-159.486
20230214T090113662,Mg,Na,0.3148148148148148,0.007001115627473546,44.96637844109144,2.2238837875504203,-40.5788,-42.9337,-42.6083,-40.2669,-161.057,-160.607,-159.646,-160.124
20230214T091153662,Mg,Na,0.6683333333333333,0.016816821393774852,39.741953469324045,2.516232627497484,-7.5793,-9.993,-9.9272,-7.5288,-161.361,-161.28,-160.506,-160.59
20230214T091609662,Mg,Na,0.35255570117955437,0.009301489608396704,37.90314412234497,2.6383035580694,5.6262,3.2117,3.1552,5.5546,-161.487,-161.527,-160.761,-160.72
20230214T105701587,Mg,Na,0.4027303754266211,0.008489713973519922,47.43744921004034,2.1080391476621503,-47.0876,-49.427,-49.0659,-46.7399,-162.06,-161.502,-160.444,-161.041
20230214T111021587,Mg,Na,0.7946210268948656,0.015921683908164088,49.908102150389475,2.00368268259665,-5.8475,-8.263,-8.2132,-5.8131,-162.458,-162.393,-161.62,-161.689
20230214T111125587,Mg,Na,0.41983122362869196,0.008214723698793691,51.1071630674983,1.956672881019201,-2.5458,-4.9626,-4.9434,-2.5419,-162.489,-162.454,-161.686,-161.722
20230214T112933587,Mg,Na,0.4894736842105263,0.01301364286399531,37.612349541629676,2.658701230278612,53.3669,51.0237,50.6441,52.9749,-163.438,-163.984,-162.868,-162.27
20230214T145219452,Mg,Na,0.36042065009560226,0.00741030822955278,48.637740689141886,2.0560165538759176,-48.6917,-51.0257,-50.6595,-48.3389,-164.184,-163.598,-162.515,-163.142
20230214T145603452,Mg,Na,0.313758389261745,0.0059401718677626015,52.8197493686195,1.893231247693321,-37.1595,-39.5194,-39.2195,-36.8729,-164.311,-163.913,-162.996,-163.416
20230214T165223378,Mg,Na,0.4259055982436883,0.009072004079053023,46.947245011396234,2.130050442272501,-42.0356,-44.3839,-44.0553,-41.7201,-165.336,-164.869,-163.895,-164.392
20230214T165639378,Mg,Na,0.34665508253692445,0.006262743192274599,55.35195550801772,1.8066209058416198,-28.8422,-31.2215,-30.9791,-28.6135,-165.474,-165.179,-164.329,-164.639
20230214T185328230,Mg,Na,0.41847826086956524,0.009646784511826365,43.38007761617735,2.305205649579287,-32.2371,-34.6087,-34.3429,-31.9846,-166.52,-166.187,-165.313,-165.664
20230214T185400230,Mg,Na,0.41591928251121074,0.00796756440452868,52.201558894811896,1.915651603460804,-30.5873,-32.9628,-32.7084,-30.3464,-166.537,-166.223,-165.361,-165.691
20230214T191136230,Mg,Na,0.4411302982731554,0.01176136025966881,37.50674144264137,2.666187361355527,23.823,21.4223,21.2119,23.5988,-167.11,-167.312,-166.5,-166.286
20230215T083125846,Mg,Na,0.43759398496240604,0.01125248242121264,38.88866194871585,2.571443577356153,-55.4455,-57.7676,-57.3814,-55.073,-173.931,-173.215,-171.963,-172.741
20230215T083333846,Mg,Na,0.32608695652173914,0.008817632682036504,36.98123615265256,2.7040740224911946,-48.8609,-51.1963,-50.8407,-48.5183,-173.993,-173.427,-172.338,-172.947
20230215T083405846,Mg,Na,0.33333333333333326,0.008266441602866702,40.3236784758435,2.479932480860011,-47.2139,-49.5527,-49.2054,-46.8794,-174.008,-173.473,-172.415,-172.99
20230215T102713772,Mg,Na,0.40926640926640934,0.01182915056622014,34.598123252833474,2.8903301855198262,-62.0336,-64.3448,-63.9326,-61.6368,-174.977,-174.049,-172.536,-173.561
20230215T104001772,Mg,Na,0.47944078947368424,0.008078607363314899,59.34696017668014,1.6850062699469839,-22.484,-24.8794,-24.6914,-22.3098,-175.317,-175.1,-174.28,-174.508
20230215T142302612,Mg,Na,0.550344827586207,0.015947414650841506,34.50997165594905,2.897713188436113,-62.223,-64.5342,-64.125,-61.8291,-177.203,-176.279,-174.756,-175.779
20230215T143030612,Mg,Na,0.3466796875,0.007191859855697921,48.204455378164084,2.0744970400661042,-39.167,-41.5238,-41.2245,-38.8804,-177.381,-176.978,-176.038,-176.467
20230215T144214612,Mg,Na,0.5342185903983657,0.009067039614319244,58.918744498997654,1.6972527308639653,-2.8629,-5.2851,-5.2642,-2.8568,-177.663,-177.629,-176.853,-176.888
20230215T161817513,Mg,Na,0.42277691107644305,0.011197281791784539,37.75710203047985,2.6485083500125053,-70.5164,-72.8168,-72.3776,-70.0974,-178.26,-176.855,-174.696,-176.309
20230215T162233513,Mg,Na,0.38569604086845466,0.0096328852887869,40.03951353157104,2.4975328414305107,-57.3651,-59.684,-59.2965,-56.9915,-178.35,-177.598,-176.283,-177.106
20230215T182653437,Mg,Na,0.5113788487282463,0.012580328308732909,40.64908611115193,2.4600799074930584,-37.6165,-39.9761,-39.6891,-37.3422,-179.597,-179.219,-178.297,-178.699
20230215T183109437,Mg,Na,0.3349455864570738,0.008216265728896043,40.76615794923637,2.4530150750169772,-24.4121,-26.8017,-26.6029,-24.2269,-179.692,-179.462,-178.636,-178.878
20230215T203319378,Mg,Na,0.4114713216957606,0.0094238729929001,43.66265568368346,2.2902867091836,-11.3362,-12.987,-13.7492,-11.2572,179.111,179.124,179.219,179.891
20230216T102224392,Mg,Na,0.47605633802816905,0.012778031166875444,37.25584417592065,2.6841426415625933,-0.5351,-2.9586,-2.9595,-0.5503,171.3,171.312,172.088,172.076
20230216T180949083,Mg,Na,0.31067961165048547,0.009472226625008537,32.79900533948695,3.0488729449246224,-13.8778,-16.2866,-16.1777,-13.7825,167.001,167.126,167.915,167.784
20230216T200817642,Mg,Na,0.4275491949910555,0.013696058455477994,31.2169516785356,3.203387730800083,-12.1823,-14.5943,-14.4997,-12.1015,165.893,166.002,166.789,166.674
20230216T212747205,Mg,Na,0.9902968036529681,0.007156668708408069,138.37398991090785,0.7226791687107168,-47.3032,-49.6785,-49.3227,-46.9576,-15.9388,-15.4725,-14.3402,-14.8468
20230218T110922186,Mg,Na,0.504424778761062,0.017938013674987933,28.120436738456288,3.5561325355677833,-65.8931,-68.1862,-67.8219,-65.5428,144.951,145.914,147.602,146.508
20230218T114122186,Mg,Na,0.4250913520097442,0.00985326062838617,43.1422011496481,2.317916038941274,32.8271,30.3794,30.1188,32.5534,143.786,143.513,144.462,144.758
20230218T114818186,Mg,Na,0.3954802259887006,0.013461893501958538,29.377756251835088,3.403935928352373,53.9105,51.4785,51.1054,53.5237,143.249,142.71,144.009,144.616
20230218T152036146,Mg,Na,0.4818577648766328,0.013282293948227067,36.278203656300775,2.7564760633519425,-18.2611,-20.6703,-20.5351,-18.1382,142.245,142.402,143.213,143.049
20230218T153252146,Mg,Na,0.46594427244582043,0.011566918960318228,40.28248784696261,2.482468321716138,19.5117,17.0598,16.8967,19.3352,141.867,141.718,142.572,142.734
20230218T171931918,Mg,Na,0.38377535101404053,0.0116405376826785,32.96886806054593,3.033164493738585,-15.1749,-17.5906,-17.4781,-15.0749,141.148,141.278,142.082,141.946
20230218T172523918,Mg,Na,0.5492730210016155,0.012902176701823543,42.57212047979341,2.3489551113025806,2.9254,0.4806,0.4511,2.8825,140.984,140.971,141.773,141.79
20230218T172659918,Mg,Na,0.5654450261780105,0.014337970465903179,39.4368943305249,2.535696628692136,7.848,5.3994,5.3297,7.7648,140.936,140.883,141.695,141.754
20230218T190750815,Mg,Na,0.3544973544973545,0.010458043464199958,33.89710089758874,2.9501047981101376,-44.9569,-47.2967,-47.0109,-44.6816,140.33,140.755,141.761,141.303
20230218T191134815,Mg,Na,0.30036630036630035,0.009511225569372932,31.580188922604144,3.1665421712668422,-33.3857,-35.7552,-35.5262,-33.1676,140.23,140.52,141.401,141.093
20230218T191518815,Mg,Na,0.4130081300813008,0.011337560172161655,36.42830766141419,2.7451179157005585,-21.8252,-24.2247,-24.0662,-21.6785,140.133,140.318,141.138,140.944
20230218T192702815,Mg,Na,0.41562064156206413,0.009932212423140298,41.84572619427083,2.3897303044938236,14.3534,11.9038,11.7822,14.2184,139.807,139.701,140.531,140.645
20230218T193014815,Mg,Na,0.4955908289241623,0.013672961583010894,36.24604851811697,2.7589214297392086,24.1621,21.7141,21.5175,23.9524,139.692,139.503,140.379,140.584
20230218T211031668,Mg,Na,0.4542124542124542,0.014360469661113507,31.629359271055673,3.161619530229022,-30.2401,-32.618,-32.4075,-30.0406,139.128,139.386,140.245,139.972
20230218T211135668,Mg,Na,0.5926640926640927,0.019131584412619126,30.97830686062643,3.228065382976126,-26.9368,-29.3231,-29.1323,-26.7574,139.102,139.329,140.17,139.93
20230218T211759668,Mg,Na,0.569558101472995,0.014833810864324958,38.3959392958671,2.604442079914526,-7.1476,-9.5774,-9.5263,-7.1094,138.942,139.007,139.801,139.735
20230219T130233734,Mg,Na,0.4197183098591549,0.010823616543343515,38.77800993580839,2.5787811227429183,-3.8589,-6.2933,-6.2687,-3.847,130.333,130.364,131.158,131.126
20230219T165508529,Mg,Na,0.4871355060034305,0.01347108454283199,36.161565496420025,2.7653670029827646,-14.0726,-16.4935,-16.3923,-13.9837,128.209,128.316,129.122,129.009
20230219T165748529,Mg,Na,0.4728171334431631,0.013901490728087836,34.0119734416569,2.9401410703656152,-5.8415,-8.2733,-8.2334,-5.8143,128.188,128.232,129.027,128.981
20230219T165924529,Mg,Na,0.4647377938517179,0.012471524999186499,37.2639106991352,2.683561604883321,-0.9072,-3.3435,-3.3416,-0.9181,128.173,128.18,128.973,128.967
20230219T184047430,Mg,Na,0.41791044776119407,0.013374236635991979,31.24742436787289,3.2002637664695093,-52.0735,-54.422,-54.1097,-51.7721,127.065,127.569,128.763,128.204
20230219T184255430,Mg,Na,0.38541666666666674,0.011187804558669533,34.449713940346214,2.902781723330473,-45.4824,-47.8427,-47.5575,-45.2078,127.106,127.51,128.565,128.122
20230219T191111430,Mg,Na,0.3724279835390946,0.009511696931373062,39.154736134484125,2.553969452291331,41.5747,39.1572,38.8648,41.2699,126.886,126.525,127.536,127.931
20230219T191351430,Mg,Na,0.3064699205448354,0.008991574574953464,34.08412152845004,2.9339174816792597,49.7194,47.3095,46.9779,49.3752,126.796,126.329,127.476,127.994
20230219T203809307,Mg,Na,0.34285714285714286,0.011017008632267022,31.12071110237403,3.2132941844112146,-53.8706,-56.2171,-55.8989,-53.5634,125.929,126.461,127.706,127.114
20230219T224539184,Mg,Na,0.489501312335958,0.011259268831352011,43.47540854277469,2.3001508979866574,-24.3637,-26.7659,-26.5958,-24.205,124.962,125.147,125.99,125.792
20230220T003742085,Mg,Na,0.3337912087912088,0.008522386495067421,39.16640121688921,2.553208793583984,-42.3604,-44.8559,-44.8548,-42.4647,124.117,123.945,125.025,125.149
20230220T005238085,Mg,Na,0.3906911142454161,0.009974196972542084,39.17018235362181,2.552962329795068,3.5169,1.0813,1.0498,3.4726,123.876,123.846,124.638,124.67
20230220T005830085,Mg,Na,0.36619718309859156,0.009345740442570014,39.18332478297352,2.5521060439325804,21.5686,19.1361,18.9706,21.3904,123.84,123.67,124.51,124.692
20230220T010142085,Mg,Na,0.45544554455445546,0.013449399017524259,33.86363539077251,2.953020219065109,31.3883,28.9635,28.733,31.1454,123.806,123.551,124.451,124.727
20230220T142825696,Mg,Na,0.42105263157894735,0.011699479861035417,35.98900434721409,2.7786264669959118,-27.0289,-29.4247,-29.2454,-26.8608,116.27,116.461,117.317,117.111
20230220T143313696,Mg,Na,0.4106583072100314,0.012794805262551086,32.09570593559409,3.1156815868349588,-12.1929,-14.6108,-14.5284,-12.1224,116.343,116.42,117.216,117.133
20230220T143521696,Mg,Na,0.44943820224719094,0.01355098438154901,33.16646153464283,3.015094024894655,-5.6036,-8.0283,-7.9932,-5.5806,116.364,116.394,117.179,117.147
20230220T144529696,Mg,Na,0.5130890052356021,0.015356551999861991,33.41173234982782,2.992960644871062,25.6131,23.1894,22.9995,25.4113,116.416,116.21,117.063,117.285
20230220T163245623,Mg,Na,0.5275288092189501,0.011015864255131182,47.88810001659448,2.0882014522469547,-7.332,-9.7549,-9.7075,-7.2966,115.284,115.326,116.112,116.067
20230220T164845623,Mg,Na,0.5506172839506173,0.019571422038367765,28.13373922810456,3.5544510876856257,41.8921,39.4832,39.1984,41.5956,115.365,114.997,115.999,116.4
20230220T222109365,Mg,Na,0.3113456464379947,0.009584024163354977,32.4858995690392,3.078258608399607,-24.2736,-26.674,-26.5139,-24.1246,111.959,112.121,112.961,112.785
20230221T140536310,Mg,Na,0.3596899224806201,0.010837117851261048,33.190551899254764,3.0129056095100766,-21.7798,-24.1754,-24.0367,-21.6519,103.341,103.475,104.29,104.145
20230221T141824310,Mg,Na,0.4470198675496689,0.01140491419644801,39.19537313914124,2.5513215461683694,17.7615,15.3374,15.2065,17.6189,103.57,103.428,104.238,104.39
20230222T154959772,Mg,Na,0.33,0.009017617224531281,36.59503300963773,2.7326112801609943,12.275,9.8723,9.7867,12.1784,89.5461,89.4502,90.2131,90.3171
20230222T174023668,Mg,Na,0.4678571428571429,0.013317122173528857,35.132000499862286,2.8464077928153277,-11.1821,-13.563,-13.4986,-11.1278,88.3102,88.3613,89.105,89.05
20230222T213152415,Mg,Na,0.4065040650406504,0.01066578122109917,38.11291987093261,2.623782180390396,-25.0008,-27.3605,-27.2196,-24.8692,86.0291,86.1649,86.9519,86.8036
20230222T213224415,Mg,Na,0.41295546558704455,0.011970473096610715,34.49783999798367,2.8987322106498494,-23.3413,-25.7032,-25.571,-23.2184,86.0475,86.1729,86.9514,86.8146
20230222T213816415,Mg,Na,0.5058670143415906,0.013644433288983628,37.07497435969161,2.697237199136712,-5.0968,-7.481,-7.4545,-5.0806,86.2086,86.2227,86.9557,86.9408
20230223T032811873,Mg,Na,0.3812824956672444,0.011836927806250046,32.211271531615026,3.10450333827558,-17.4134,-19.7757,-19.6863,-17.326,82.8789,82.9642,83.7142,83.6204
20230223T034235873,Mg,Na,0.41217150760719223,0.010877906433114978,37.890701684328015,2.6391699164906477,27.268,24.8715,24.6973,27.0829,83.1821,82.9821,83.8065,84.0247
20230223T034547873,Mg,Na,0.4649890590809628,0.00867065960560061,53.62787610536734,1.8647018540044606,37.1342,34.7369,34.5075,36.8935,83.2444,82.9561,83.8721,84.1891
